Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
Άγιος Νικόλαος Στροβιλιών,ΔΧ,PN ΑΜΜΟΧΩΣΤΟΣ-ΠΑΡΑΛΙΜΝΙ,ΚΥΠΡΟΣ,ΣΤΑΔΙΟΥ 84,5620,77777373
Άγιος Τύχωνας,ΔΧ,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4521,77777373
Άλασσα,D2,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,4712,77777373
KITI,,CD ΚΙΤΙ,ΚΥΠΡΟΣ,ΑΡΧ. ΜΑΚΑΡΙΟΥ 56,9970,77777373
Αβδελλερό,D1,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7501,77777373
Αγγλικός Στρατός Ακρωτηρίου,D1,LI ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΛΕΜΕΣΟΥ (ΚΑΨΑΛΟΣ),ΚΥΠΡΟΣ,ΣΤΕΛΙΟΥ ΚΥΡΙΑΚΙΔΗ,3370,77777373
Αγγλικός Στρατός Δεκέλειας,ΔΧ,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,6370,77777373
Αγγλισίδες,D1,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7571,77777373
Αγγολέμι,D3,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2826,77777373
Αγία 'Αννα,D1,LC ΒΙ.ΠΕ ΑΡΑΔΙΠΠΟΥ ΛΑΡΝΑΚΑ,ΚΥΠΡΟΣ,ΑΡΧ.ΜΑΚΑΡΙΟΥ Γ' 127,7641,77777373
Αγία Βαρβάρα,D1,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2560,77777373
Αγία Βαρβάρα Πάφου,D1,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8501,77777373
Αγία Ειρήνη,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2820,77777373
Αγία Θέκλα,,PN ΑΜΜΟΧΩΣΤΟΣ-ΠΑΡΑΛΙΜΝΙ,ΚΥΠΡΟΣ,ΣΤΑΔΙΟΥ 84,5391,77777373
Αγία Μαρίνα Κελοκεδάρων,D2,PF ΠΑΦΟΣ,ΚΥΠΡΟΣ,ΛΕΩΦ.ΜΕΣΟΓΗΣ 53,8641,77777373
Αγία Μαρίνα Ξυλιάτου,D2,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2772,77777373
Αγία Μαρίνα Σκυλλούρας,D1,NI ΛΕΥΚΩΣΙΑ -ΒΙΟΜ.ΠΕΡ.ΣΤΡΟΒΟΛΟΥ,ΚΥΠΡΟΣ,ΒΑΡΚΙΖΑΣ 14,2670,77777373
