Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
40 ΕΚΚΛΗΣΙΕΣ,,ΘΔ ΑΓ. ΔΗΜΗΤΡΙΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΓ.ΔΗΜΗΤΡΙΟΥ 28-30,55438,2310-251604 & 2310-257286
6Ο ΣΥΝΤΑΓΜΑ ΠΕΖΙΚΟΥ,,ΚΟ ΚΟΡΙΝΘΟΣ,ΚΟΡΙΝΘΟΥ,ΑΡΓΟΥΣ 2,20132,27416-01020
Α ΣΥΝΟΙΚΙΣΜΟΣ,,ΣΚ ΣΚΥΔΡΑ,ΠΕΛΛΗΣ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 36,58200,23810-89922
ΑΒΑΝΤΑΣ,ΔΠ,ΑΛ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΕΒΡΟΥ,ΝΙΚΟΜΗΔΕΙΑΣ & ΙΣΜΑΡΟΥ,68150,25510-31000
ΑΒΑΝΤΙ,ΔΠ,ΣΜ ΣΑΜΟΣ,ΣΑΜΟΥ,ΘΕΜ. ΣΟΦΟΥΛΗ & Ι. ΛΕΚΑΤΗ 1,83104,22730-80788
ΑΒΑΡΙΚΟΣ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30008,26410-33141 & 26410-33241
ΑΒΑΡΙΤΣΑ,ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,46200,26650-28111 & 26650-22987
ΑΒΑΤΟ,ΔΠ,ΞΝ ΞΑΝΘΗ,ΞΑΝΘΗΣ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 52 & ΜΙΑΟΥΛΗ,67200,25410-68384 & 25410-65250
ΑΒΓΑΡΙΑ,ΔΠ,ΕΒ ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑΣ,ΑΘ. ΚΟΡΦΙΑΤΗ 35,34200,22260-56007
ΑΒΓΟ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,45500,26510-27074
ΑΒΔΑΝΙΤΕΣ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΑΒΔΕΛΛΑ (ΓΡΕΒΕΝΩΝ),ΔΠ,ΓΡ ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΑΛΙΑΔΟΥΡΗ 60,51100,24620-87701
ΑΒΔΕΛΛΑ (ΕΒΡΟΥ),ΔΠ,ΔΙ ΔΙΔΥΜΟΤΕΙΧΟ,ΕΒΡΟΥ,Γερμανού 26,68010,25530-20303 & 25530-23143
ΑΒΔΕΛΛΑΣ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΑΒΔΗΡΑ,ΔΠ,ΞΝ ΞΑΝΘΗ,ΞΑΝΘΗΣ,ΛΕΩΦ.ΣΤΡΑΤΟΥ 52 & ΜΙΑΟΥΛΗ,67064,25410-68384 & 25410-65250
ΑΒΔΟΥ,ΔΠ,ΧΡ ΧΕΡΣΟΝΗΣΟΣ,ΗΡΑΚΛΕΙΟΥ,Γ.ΣΑΝΟΥΔΑΚΗ 28Γ,70005,28970-25067
ΑΒΕΡΩΦ,,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,41335,2410-619009
ΑΒΙΑ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24150,27210-88271
ΑΒΛΕΜΟΝΑΣ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,80100,27310-28403
ΑΒΟΡΟΣ,ΔΠ,ΑΦ ΑΜΦΙΣΣΑ,ΦΩΚΙΔΟΣ,Β.ΚΑΝΑΤΑ 1,33053,22650-79288
ΑΒΡΑΚΟΝΤΕΣ,ΔΠ,ΧΡ ΧΕΡΣΟΝΗΣΟΣ,ΗΡΑΚΛΕΙΟΥ,Γ.ΣΑΝΟΥΔΑΚΗ 28Γ,72052,28970-25067
ΑΒΡΑΜΗΣ,,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49150,26610-45791
ΑΒΡΑΜΙ,ΔΠ,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25015,26930-22227 & 22207
ΑΒΡΑΜΙΑΝΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΑΒΡΑΜΙΟ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24200,27210-88271
ΑΒΡΑΜΙΟΥ,,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24134,27210-88271
